team,team_name,Logo
Super Kings,CSK,https://scores.iplt20.com/ipl/teamlogos/CSK.png
KKR,KKR,https://scores.iplt20.com/ipl/teamlogos/KKR.png
RCB,RCB,https://scores.iplt20.com/ipl/teamlogos/RCB.png
Mumbai,MI,https://scores.iplt20.com/ipl/teamlogos/MI.png
Punjab Kings,PBKS,https://scores.iplt20.com/ipl/teamlogos/PBKS.png
Sunrisers,SRH,https://scores.iplt20.com/ipl/teamlogos/SRH.png
Capitals,DC,https://scores.iplt20.com/ipl/teamlogos/DC.png
Royals,RR,https://scores.iplt20.com/ipl/teamlogos/RR.png
Titans,GT,https://scores.iplt20.com/ipl/teamlogos/GT.png
Super Giants,LSG,https://scores.iplt20.com/ipl/teamlogos/LSG.png
