,names,name images
0,Ruturaj Gaikwad,https://scores.iplt20.com/ipl/playerimages/Ruturaj%20Gaikwad.png
1,Fafdu Plessis,https://scores.iplt20.com/ipl/playerimages/Faf du%20Plessis.png
2,Robin Uthappa,https://scores.iplt20.com/ipl/playerimages/Robin%20Uthappa.png
3,Moeen Ali,https://scores.iplt20.com/ipl/playerimages/Moeen%20Ali.png
4,Shubman Gill,https://scores.iplt20.com/ipl/playerimages/Shubman%20Gill.png
5,Venkatesh Iyer,https://scores.iplt20.com/ipl/playerimages/Venkatesh%20Iyer.png
6,Nitish Rana,https://scores.iplt20.com/ipl/playerimages/Nitish%20Rana.png
7,Sunil Narine,https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png
8,Eoin Morgan,https://scores.iplt20.com/ipl/playerimages/Eoin%20Morgan.png
9,Dinesh Karthik,https://scores.iplt20.com/ipl/playerimages/Dinesh%20Karthik.png
10,Shakib Al Hasan,https://scores.iplt20.com/ipl/playerimages/Shakib%20Al%20Hasan.png
11,Rahul Tripathi,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tripathi.png
12,Lockie Ferguson,https://scores.iplt20.com/ipl/playerimages/Lockie%20Ferguson.png
13,Shivam Mavi,https://scores.iplt20.com/ipl/playerimages/Shivam%20Mavi.png
14,Varun Chakravarthy,https://scores.iplt20.com/ipl/playerimages/Varun%20Chakravarthy.png
15,Prithvi Shaw,https://scores.iplt20.com/ipl/playerimages/Prithvi%20Shaw.png
16,Shikhar Dhawan,https://scores.iplt20.com/ipl/playerimages/Shikhar%20Dhawan.png
17,Marcus Stoinis,https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png
18,Shreyas Iyer,https://scores.iplt20.com/ipl/playerimages/Shreyas%20Iyer.png
19,Rishabh Pant,https://scores.iplt20.com/ipl/playerimages/Rishabh%20Pant.png
20,Shimron Hetmyer,https://scores.iplt20.com/ipl/playerimages/Shimron%20Hetmyer.png
21,Axar Patel,https://scores.iplt20.com/ipl/playerimages/Axar%20Patel.png
22,Devdutt Padikkal,https://scores.iplt20.com/ipl/playerimages/Devdutt%20Padikkal.png
23,Virat Kohli,https://scores.iplt20.com/ipl/playerimages/Virat%20Kohli.png
24,Srikar Bharat,https://scores.iplt20.com/ipl/playerimages/Srikar%20Bharat.png
25,Glenn Maxwell,https://scores.iplt20.com/ipl/playerimages/Glenn%20Maxwell.png
26,ABde Villiers,https://scores.iplt20.com/ipl/playerimages/ABde%20Villiers.png
27,Shahbaz Ahmed,https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Ahmed.png
28,Dan Christian,https://scores.iplt20.com/ipl/playerimages/Dan%20Christian.png
29,Harshal Patel,https://scores.iplt20.com/ipl/playerimages/Harshal%20Patel.png
30,George Garton,https://scores.iplt20.com/ipl/playerimages/George%20Garton.png
31,Tom Curran,https://scores.iplt20.com/ipl/playerimages/Tom%20Curran.png
32,Shardul Thakur,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png
33,Ambati Rayudu,https://scores.iplt20.com/ipl/playerimages/Ambati%20Rayudu.png
