District,Month,Visitors,,,,,,,,,,,
Adilabad,January,18203,,,,,,,,,,,
Adilabad,February,271255,,,,,,,,,,,
Adilabad,March,15907,,,,,,,,,,,
Adilabad,April,6955,,,,,,,,,,,
Adilabad,May,1191,,,,,,,,,,,
Adilabad,June,3407,,,,,,,,,,,
Adilabad,July,26885,,,,,,,,,,,
Adilabad,August,25338,,,,,,,,,,,
Adilabad,September,17672,,,,,,,,,,,
Adilabad,October,16095,,,,,,,,,,,
Adilabad,November,73753,,,,,,,,,,,
Adilabad,December,18484,,,,,,,,,,,
Bhadradri Kothagudem,January,199340,,,,,,,,,,,
Bhadradri Kothagudem,February,163761,,,,,,,,,,,
Bhadradri Kothagudem,March,83871,,,,,,,,,,,
Bhadradri Kothagudem,April,38456,,,,,,,,,,,
Bhadradri Kothagudem,May,9329,,,,,,,,,,,
Bhadradri Kothagudem,June,20090,,,,,,,,,,,
Bhadradri Kothagudem,July,63082,,,,,,,,,,,
Bhadradri Kothagudem,August,70386,,,,,,,,,,,
Bhadradri Kothagudem,September,88451,,,,,,,,,,,
Bhadradri Kothagudem,October,104063,,,,,,,,,,,
Bhadradri Kothagudem,November,84828,,,,,,,,,,,
Bhadradri Kothagudem,December,105685,,,,,,,,,,,
Hanumakonda,January,90800,,,,,,,,,,,
Hanumakonda,February,89900,,,,,,,,,,,
Hanumakonda,March,91970,,,,,,,,,,,
Hanumakonda,April,89430,,,,,,,,,,,
Hanumakonda,May,14510,,,,,,,,,,,
Hanumakonda,June,10050,,,,,,,,,,,
Hanumakonda,July,40670,,,,,,,,,,,
Hanumakonda,August,39220,,,,,,,,,,,
Hanumakonda,September,42340,,,,,,,,,,,
Hanumakonda,October,38650,,,,,,,,,,,
Hanumakonda,November,37910,,,,,,,,,,,
Hanumakonda,December,38125,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",January,828057,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",February,657955,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",March,589239,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",April,216683,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",May,50064,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",June,205368,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",July,384455,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",August,603815,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",September,533745,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",October,743442,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",November,938466,,,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",December,1042809,,,,,,,,,,,
Jagtial,January,154626,,,,,,,,,,,
Jagtial,February,155602,,,,,,,,,,,
Jagtial,March,303738,,,,,,,,,,,
Jagtial,April,74401,,,,,,,,,,,
Jagtial,May,2555,,,,,,,,,,,
Jagtial,June,43196,,,,,,,,,,,
Jagtial,July,187220,,,,,,,,,,,
Jagtial,August,191483,,,,,,,,,,,
Jagtial,September,169440,,,,,,,,,,,
Jagtial,October,172570,,,,,,,,,,,
Jagtial,November,260498,,,,,,,,,,,
Jagtial,December,255232,,,,,,,,,,,
Jangaon,January,11545,,,,,,,,,,,
Jangaon,February,11440,,,,,,,,,,,
Jangaon,March,11950,,,,,,,,,,,
Jangaon,April,10340,,,,,,,,,,,
Jangaon,May,3275,,,,,,,,,,,
Jangaon,June,2470,,,,,,,,,,,
Jangaon,July,6580,,,,,,,,,,,
Jangaon,August,7085,,,,,,,,,,,
Jangaon,September,7180,,,,,,,,,,,
Jangaon,October,10360,,,,,,,,,,,
Jangaon,November,6140,,,,,,,,,,,
Jangaon,December,6140,,,,,,,,,,,
Jayashankar Bhoopalpally,January,15700,,,,,,,,,,,
Jayashankar Bhoopalpally,February,15800,,,,,,,,,,,
Jayashankar Bhoopalpally,March,16400,,,,,,,,,,,
Jayashankar Bhoopalpally,April,14900,,,,,,,,,,,
Jayashankar Bhoopalpally,May,5600,,,,,,,,,,,
Jayashankar Bhoopalpally,June,4400,,,,,,,,,,,
Jayashankar Bhoopalpally,July,9000,,,,,,,,,,,
Jayashankar Bhoopalpally,August,10500,,,,,,,,,,,
Jayashankar Bhoopalpally,September,10700,,,,,,,,,,,
Jayashankar Bhoopalpally,October,11000,,,,,,,,,,,
Jayashankar Bhoopalpally,November,10500,,,,,,,,,,,
Jayashankar Bhoopalpally,December,10900,,,,,,,,,,,
JogulambaGadwai,January,169350,,,,,,,,,,,
JogulambaGadwai,February,400254,,,,,,,,,,,
JogulambaGadwai,March,520014,,,,,,,,,,,
JogulambaGadwai,April,248566,,,,,,,,,,,
JogulambaGadwai,May,990,,,,,,,,,,,
JogulambaGadwai,June,39894,,,,,,,,,,,
JogulambaGadwai,July,278769,,,,,,,,,,,
JogulambaGadwai,August,174508,,,,,,,,,,,
JogulambaGadwai,September,154900,,,,,,,,,,,
JogulambaGadwai,October,185052,,,,,,,,,,,
JogulambaGadwai,November,220734,,,,,,,,,,,
JogulambaGadwai,December,229051,,,,,,,,,,,
Kamareddy,January,43,,,,,,,,,,,
Kamareddy,February,40,,,,,,,,,,,
Kamareddy,March,49,,,,,,,,,,,
Kamareddy,April,26,,,,,,,,,,,
Kamareddy,May,0,,,,,,,,,,,
Kamareddy,June,24,,,,,,,,,,,
Kamareddy,July,41,,,,,,,,,,,
Kamareddy,August,48,,,,,,,,,,,
Kamareddy,September,33,,,,,,,,,,,
Kamareddy,October,40,,,,,,,,,,,
Kamareddy,November,42,,,,,,,,,,,
Kamareddy,December,45,,,,,,,,,,,
Karimnagar,January,5965,,,,,,,,,,,
Karimnagar,February,5670,,,,,,,,,,,
