District,Month,Visitors,
Adilabad,January,28423,
Adilabad,February,378787,
Adilabad,March,15469,
Adilabad,April,10266,
Adilabad,May,11670,
Adilabad,June,10704,
Adilabad,July,16035,
Adilabad,August,20472,
Adilabad,September,21352,
Adilabad,October,22668,
Adilabad,November,66152,
Adilabad,December,25972,
BhadradriKothagudem,January,84901,
BhadradriKothagudem,February,108037,
BhadradriKothagudem,March,177140,
BhadradriKothagudem,April,180027,
BhadradriKothagudem,May,179018,
BhadradriKothagudem,June,167787,
BhadradriKothagudem,July,95266,
BhadradriKothagudem,August,76299,
BhadradriKothagudem,September,87413,
BhadradriKothagudem,October,101592,
BhadradriKothagudem,November,85953,
BhadradriKothagudem,December,115658,
Hunmakonda,January,42135,
Hunmakonda,February,55408,
Hunmakonda,March,44427,
Hunmakonda,April,44010,
Hunmakonda,May,44785,
Hunmakonda,June,44169,
Hunmakonda,July,42452,
Hunmakonda,August,33640,
Hunmakonda,September,34774,
Hunmakonda,October,35347,
Hunmakonda,November,35198,
Hunmakonda,December,36985,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",January,956428,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",February,733747,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",March,818866,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",April,776520,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",May,1460904,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",June,1435151,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",July,816814,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",August,933522,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",September,1005418,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",October,1724362,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",November,1289350,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",December,1622676,
Jagtial,January,321355,
Jagtial,February,221928,
Jagtial,March,369104,
Jagtial,April,260082,
Jagtial,May,209660,
Jagtial,June,197988,
Jagtial,July,95511,
Jagtial,August,170922,
Jagtial,September,97975,
Jagtial,October,122002,
Jagtial,November,169844,
