District,Month,Visitors
Adilabad,January,405414
Adilabad,February,41462
Adilabad,March,17236
Adilabad,April,12640
Adilabad,May,13030
Adilabad,June,10929
Adilabad,July,21085
Adilabad,August,32623
Adilabad,September,22961
Adilabad,October,25294
Adilabad,November,29836
Adilabad,December,50235
Komaram Bheem Asifabad,January,1452
Komaram Bheem Asifabad,February,1337
Komaram Bheem Asifabad,March,821
Komaram Bheem Asifabad,April,767
Komaram Bheem Asifabad,May,637
Komaram Bheem Asifabad,June,679
Komaram Bheem Asifabad,July,611
Komaram Bheem Asifabad,August,1072
Komaram Bheem Asifabad,September,1159
Komaram Bheem Asifabad,October,1367
Komaram Bheem Asifabad,November,1688
Komaram Bheem Asifabad,December,1739
Mancherial,January,10278
Mancherial,February,18555
Mancherial,March,10222
Mancherial,April,12473
Mancherial,May,10503
Mancherial,June,12024
Mancherial,July,13506
Mancherial,August,14433
Mancherial,September,10409
Mancherial,October,11785
Mancherial,November,11401
Mancherial,December,12536
Nirmal,January,413328
Nirmal,February,320785
Nirmal,March,404555
Nirmal,April,323987
Nirmal,May,384755
Nirmal,June,408390
Nirmal,July,364326
Nirmal,August,379447
Nirmal,September,382582
Nirmal,October,405646
Nirmal,November,415121
Nirmal,December,398336
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",January,1792085
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",February,1279128
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",March,1134117
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",April,1353144
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",May,1788013
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",June,1415295
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",July,1209926
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",August,1351690
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",September,1288523
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",October,1916011
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",November,1662165
"Hyderabad, Ranga Reddy, Medchal -Malkajigiri, & Vikarabad",December,2382597
Karimnagar,January,6300
Karimnagar,February,6000
Karimnagar,March,4525
Karimnagar,April,4125
Karimnagar,May,3900
Karimnagar,June,3900
Karimnagar,July,6050
Karimnagar,August,4600
Karimnagar,September,3396
Karimnagar,October,4500
Karimnagar,November,5310
Karimnagar,December,6150
Jagtial,January,215746
Jagtial,February,213846
Jagtial,March,822553
Jagtial,April,507092
Jagtial,May,504073
Jagtial,June,352546
Jagtial,July,153545
Jagtial,August,133336
Jagtial,September,82078
Jagtial,October,83261
Jagtial,November,113565
Jagtial,December,339094
Peddapalli,January,1720
Peddapalli,February,1625
Peddapalli,March,1510
Peddapalli,April,1615
Peddapalli,May,1290
Peddapalli,June,1430
Peddapalli,July,1040
Peddapalli,August,1410
Peddapalli,September,1360
Peddapalli,October,1495
Peddapalli,November,1630
Peddapalli,December,1155
Rajarina Sircilla,January,377393
Rajarina Sircilla,February,538057
Rajarina Sircilla,March,467996
Rajarina Sircilla,April,473718
Rajarina Sircilla,May,565654
Rajarina Sircilla,June,487331
Rajarina Sircilla,July,286185
Rajarina Sircilla,August,425962
Rajarina Sircilla,September,461574
Rajarina Sircilla,October,321294
Rajarina Sircilla,November,672994
Rajarina Sircilla,December,896048
