District,Month,Visitors,,,,,,,,,
Adilabad,January,0,,,,,,,,,
Adilabad,February  ,2,,,,,,,,,
Adilabad,March ,0,,,,,,,,,
Adilabad,April,0,,,,,,,,,
Adilabad,May,0,,,,,,,,,
Adilabad,June,0,,,,,,,,,
Adilabad,July,0,,,,,,,,,
Adilabad,August,0,,,,,,,,,
Adilabad, September,0,,,,,,,,,
Adilabad,October   ,0,,,,,,,,,
Adilabad,November,0,,,,,,,,,
Adilabad,December,0,,,,,,,,,
Bhadradri Kothagudem,January,0,,,,,,,,,
Bhadradri Kothagudem,February,0,,,,,,,,,
Bhadradri Kothagudem,March,0,,,,,,,,,
Bhadradri Kothagudem,April,0,,,,,,,,,
Bhadradri Kothagudem,May,0,,,,,,,,,
Bhadradri Kothagudem,June,0,,,,,,,,,
Bhadradri Kothagudem,July,0,,,,,,,,,
Bhadradri Kothagudem,August,0,,,,,,,,,
Bhadradri Kothagudem, September,0,,,,,,,,,
Bhadradri Kothagudem,October,0,,,,,,,,,
Bhadradri Kothagudem,November,0,,,,,,,,,
Bhadradri Kothagudem,December,0,,,,,,,,,
Hunmakonda,January,8,,,,,,,,,
Hunmakonda,February,8,,,,,,,,,
Hunmakonda,March,8,,,,,,,,,
Hunmakonda,April,8,,,,,,,,,
Hunmakonda,May,7,,,,,,,,,
Hunmakonda,June,7,,,,,,,,,
Hunmakonda,July,9,,,,,,,,,
Hunmakonda,August,0,,,,,,,,,
Hunmakonda, September,0,,,,,,,,,
Hunmakonda,October,9,,,,,,,,,
Hunmakonda,November,0,,,,,,,,,
Hunmakonda,December,0,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",January,575,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",February,592,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",March,1907,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",April,4959,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",May,7841,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",June,5241,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",July,6972,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",August,13256,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad", September,7828,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",October,5206,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",November,4524,,,,,,,,,
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",December,9275,,,,,,,,,
Jagtial,January,0,,,,,,,,,
Jagtial,February,0,,,,,,,,,
Jagtial,March,0,,,,,,,,,
Jagtial,April,0,,,,,,,,,
Jagtial,May,0,,,,,,,,,
Jagtial,June,0,,,,,,,,,
Jagtial,July,0,,,,,,,,,
Jagtial,August,0,,,,,,,,,
Jagtial, September,0,,,,,,,,,
Jagtial,October,0,,,,,,,,,
Jagtial,November,0,,,,,,,,,
Jagtial,December,0,,,,,,,,,
Jangaon,January,0,,,,,,,,,
Jangaon,February,0,,,,,,,,,
Jangaon,March,0,,,,,,,,,
Jangaon,April,0,,,,,,,,,
Jangaon,May,0,,,,,,,,,
Jangaon,June,0,,,,,,,,,
Jangaon,July,0,,,,,,,,,
Jangaon,August,0,,,,,,,,,
Jangaon, September,0,,,,,,,,,
Jangaon,October,0,,,,,,,,,
Jangaon,November,0,,,,,,,,,
Jangaon,December,0,,,,,,,,,
Jayashankar Bhoopalpally,January,0,,,,,,,,,
Jayashankar Bhoopalpally,February,0,,,,,,,,,
Jayashankar Bhoopalpally,March,0,,,,,,,,,
Jayashankar Bhoopalpally,April,0,,,,,,,,,
Jayashankar Bhoopalpally,May,0,,,,,,,,,
Jayashankar Bhoopalpally,June,0,,,,,,,,,
Jayashankar Bhoopalpally,July,0,,,,,,,,,
Jayashankar Bhoopalpally,August,0,,,,,,,,,
Jayashankar Bhoopalpally, September,0,,,,,,,,,
Jayashankar Bhoopalpally,October,0,,,,,,,,,
Jayashankar Bhoopalpally,November,0,,,,,,,,,
Jayashankar Bhoopalpally,December,0,,,,,,,,,
Jogulamba Gadwal,January,0,,,,,,,,,
Jogulamba Gadwal,February,0,,,,,,,,,
Jogulamba Gadwal,March,0,,,,,,,,,
Jogulamba Gadwal,April,0,,,,,,,,,
Jogulamba Gadwal,May,0,,,,,,,,,
Jogulamba Gadwal,June,0,,,,,,,,,
Jogulamba Gadwal,July,0,,,,,,,,,
Jogulamba Gadwal,August,0,,,,,,,,,
Jogulamba Gadwal, September,0,,,,,,,,,
Jogulamba Gadwal,October,0,,,,,,,,,
Jogulamba Gadwal,November,0,,,,,,,,,
Jogulamba Gadwal,December,0,,,,,,,,,
Kamareddy,January,0,,,,,,,,,
Kamareddy,February,0,,,,,,,,,
Kamareddy,March,0,,,,,,,,,
Kamareddy,April,0,,,,,,,,,
Kamareddy,May,0,,,,,,,,,
Kamareddy,June,0,,,,,,,,,
Kamareddy,July,0,,,,,,,,,
Kamareddy,August,0,,,,,,,,,
Kamareddy, September,0,,,,,,,,,
Kamareddy,October,0,,,,,,,,,
Kamareddy,November,0,,,,,,,,,
Kamareddy,December,0,,,,,,,,,
Karimnagar,January,0,,,,,,,,,
Karimnagar,February,0,,,,,,,,,
Karimnagar,March,0,,,,,,,,,
Karimnagar,April,0,,,,,,,,,
Karimnagar,May,0,,,,,,,,,
Karimnagar,June,0,,,,,,,,,
Karimnagar,July,0,,,,,,,,,
Karimnagar,August,0,,,,,,,,,
Karimnagar, September,0,,,,,,,,,
Karimnagar,October,0,,,,,,,,,
Karimnagar,November,0,,,,,,,,,
Karimnagar,December,0,,,,,,,,,
Khammam,January,0,,,,,,,,,
Khammam,February,0,,,,,,,,,
Khammam,March,0,,,,,,,,,
Khammam,April,0,,,,,,,,,
Khammam,May,0,,,,,,,,,
Khammam,June,0,,,,,,,,,
Khammam,July,0,,,,,,,,,
Khammam,August,0,,,,,,,,,
Khammam, September,0,,,,,,,,,
Khammam,October,0,,,,,,,,,
Khammam,November,0,,,,,,,,,
Khammam,December,0,,,,,,,,,
Komaram Bheem Asifabad,January,0,,,,,,,,,
Komaram Bheem Asifabad,February  ,0,,,,,,,,,
Komaram Bheem Asifabad,March ,0,,,,,,,,,
Komaram Bheem Asifabad,April,0,,,,,,,,,
Komaram Bheem Asifabad,May,0,,,,,,,,,
Komaram Bheem Asifabad,June,0,,,,,,,,,
Komaram Bheem Asifabad,July,0,,,,,,,,,
Komaram Bheem Asifabad,August,0,,,,,,,,,
Komaram Bheem Asifabad, September,0,,,,,,,,,
Komaram Bheem Asifabad,October   ,0,,,,,,,,,
Komaram Bheem Asifabad,November,0,,,,,,,,,
Komaram Bheem Asifabad,December,0,,,,,,,,,
Mahabubabad,January,0,,,,,,,,,
Mahabubabad,February,0,,,,,,,,,
Mahabubabad,March,0,,,,,,,,,
Mahabubabad,April,0,,,,,,,,,
Mahabubabad,May,0,,,,,,,,,
Mahabubabad,June,0,,,,,,,,,
Mahabubabad,July,0,,,,,,,,,
Mahabubabad,August,0,,,,,,,,,
Mahabubabad, September,0,,,,,,,,,
Mahabubabad,October,0,,,,,,,,,
Mahabubabad,November,0,,,,,,,,,
Mahabubabad,December,0,,,,,,,,,
Mahbubnagar,January,0,,,,,,,,,
Mahbubnagar,February,0,,,,,,,,,
Mahbubnagar,March,0,,,,,,,,,
Mahbubnagar,April,0,,,,,,,,,
Mahbubnagar,May,0,,,,,,,,,
Mahbubnagar,June,0,,,,,,,,,
Mahbubnagar,July,0,,,,,,,,,
Mahbubnagar,August,0,,,,,,,,,
Mahbubnagar, September,0,,,,,,,,,
Mahbubnagar,October,0,,,,,,,,,
Mahbubnagar,November,0,,,,,,,,,
Mahbubnagar,December,0,,,,,,,,,
Mancherial,January,0,,,,,,,,,
Mancherial,February,0,,,,,,,,,
Mancherial,March,0,,,,,,,,,
Mancherial,April,0,,,,,,,,,
Mancherial,May,0,,,,,,,,,
Mancherial,June,0,,,,,,,,,
Mancherial,July,0,,,,,,,,,
Mancherial,August,0,,,,,,,,,
Mancherial, September,0,,,,,,,,,
Mancherial,October,0,,,,,,,,,
Mancherial,November,0,,,,,,,,,
Mancherial,December,0,,,,,,,,,
Medak,January,0,,,,,,,,,
Medak,February,0,,,,,,,,,
Medak,March,0,,,,,,,,,
Medak,April,0,,,,,,,,,
Medak,May,0,,,,,,,,,
Medak,June,0,,,,,,,,,
Medak,July,0,,,,,,,,,
Medak,August,0,,,,,,,,,
Medak, September,0,,,,,,,,,
Medak,October,0,,,,,,,,,
Medak,November,0,,,,,,,,,
Medak,December,0,,,,,,,,,
