maker,vehicle_category
OLA ELECTRIC,2-Wheelers
OKAYA EV,2-Wheelers
BYD India,4-Wheelers
PCA Automobiles,4-Wheelers
BMW India,4-Wheelers
Volvo Auto India,4-Wheelers
KIA Motors,4-Wheelers
Mercedes -Benz AG,4-Wheelers
Tata Motors,4-Wheelers
MG Motor,4-Wheelers
Mahindra & Mahindra,4-Wheelers
Hyundai Motor,4-Wheelers
HERO ELECTRIC,2-Wheelers
OKINAWA,2-Wheelers
AMPERE,2-Wheelers
ATHER,2-Wheelers
PURE EV,2-Wheelers
TVS,2-Wheelers
REVOLT,2-Wheelers
BAJAJ,2-Wheelers
BEING,2-Wheelers
JITENDRA,2-Wheelers
OTHERS,2-Wheelers
BGAUSS,2-Wheelers
BATTRE ELECTRIC,2-Wheelers
KINETIC GREEN,2-Wheelers
