match_id,inning,player_id,player,bat_inning,ball_inning,ball_faced,run_scored,4s,6s,50s,100s,ball_delivered,run_given,wicket,catch,stump,run_out,dismissed_by,dismissal_type,dream11_score
1,0,123,DA Warner,1,0,9,14,2,1,0,0,0,0,0,2,0,0,A Choudhary,caught,34
1,0,427,S Dhawan,1,0,31,40,5,0,0,0,0,0,0,0,0,0,STR Binny,caught,45
1,0,293,MC Henriques,1,1,37,52,3,2,1,0,13,20,1,2,0,0,YS Chahal,caught,106
1,0,562,Yuvraj Singh,1,0,30,62,7,3,1,0,0,0,0,2,0,0,TS Mills,bowled,99
1,0,131,DJ Hooda,1,1,12,16,0,1,0,0,6,7,1,0,0,0,0,0,43
1,0,83,BCJ Cutting,1,1,6,16,0,2,0,0,24,35,0,0,0,0,0,0,20
1,0,106,CJ Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,92,Bipul Sharma,0,1,0,0,0,0,0,0,6,4,1,0,0,0,0,0,29
1,0,420,Rashid Khan,0,1,0,0,0,0,0,0,24,36,2,0,0,0,0,0,48
1,0,72,B Kumar,0,1,0,0,0,0,0,0,25,28,2,0,0,0,0,0,50
1,0,12,A Nehra,0,1,0,0,0,0,0,0,25,42,2,0,0,0,0,0,46
1,1,102,CH Gayle,1,0,23,32,2,3,0,0,0,0,0,0,0,0,DJ Hooda,caught,40
1,1,320,Mandeep Singh,1,0,16,24,5,0,0,0,0,0,0,1,0,0,Rashid Khan,bowled,37
1,1,245,KM Jadhav,1,0,18,31,4,1,0,0,0,0,0,0,0,0,0,run out,37
1,1,495,Sachin Baby,1,0,3,1,0,0,0,0,0,0,0,2,0,0,Bipul Sharma,caught,11
1,1,491,STR Binny,1,1,10,11,0,1,0,0,6,10,1,0,0,0,B Kumar,caught,34
1,1,521,TM Head,1,1,22,30,3,0,0,0,6,11,0,0,0,0,Rashid Khan,caught,27
1,1,483,SR Watson,1,1,17,22,1,1,0,0,18,41,0,0,0,0,A Nehra,caught,19
1,1,422,S Aravind,1,1,2,0,0,0,0,0,18,36,0,0,0,0,A Nehra,bowled,-12
1,1,558,YS Chahal,1,1,7,3,0,0,0,0,24,22,1,0,0,0,0,0,24
1,1,3,A Choudhary,1,1,2,6,0,1,0,0,28,55,1,0,0,0,0,0,27
1,1,525,TS Mills,1,1,3,6,0,1,0,0,25,32,1,0,0,0,B Kumar,caught,33
2,0,360,PA Patel,1,0,15,19,4,0,0,0,0,0,0,0,0,0,Imran Tahir,bowled,23
2,0,205,JC Buttler,1,0,19,38,3,3,0,0,0,0,0,0,0,0,Imran Tahir,lbw,47
2,0,400,RG Sharma,1,0,7,3,0,0,0,0,0,0,0,1,0,0,Imran Tahir,bowled,5
2,0,332,N Rana,1,0,29,34,1,2,0,0,0,0,0,1,0,0,A Zampa,caught,47
2,0,57,AT Rayudu,1,0,12,10,0,0,0,0,0,0,0,0,0,0,R Bhatia,caught and bowled,10
2,0,239,KH Pandya,1,1,6,3,0,0,0,0,12,21,0,0,0,0,R Bhatia,caught,-5
2,0,232,KA Pollard,1,1,17,27,3,1,0,0,12,30,0,0,0,0,BA Stokes,caught,26
2,0,176,HH Pandya,1,1,17,35,1,4,0,0,24,37,1,0,0,0,0,0,67
2,0,518,TG Southee,1,1,3,7,0,1,0,0,26,34,1,1,0,0,0,0,42
2,0,305,MJ McClenaghan,0,1,0,0,0,0,0,0,24,36,1,0,0,0,0,0,23
2,0,213,JJ Bumrah,0,1,0,0,0,0,0,0,24,29,0,0,0,0,0,0,0
2,1,45,AM Rahane,1,0,34,60,6,3,1,0,0,0,0,0,0,0,TG Southee,caught,80
2,1,289,MA Agarwal,1,0,6,6,1,0,0,0,0,0,0,1,0,0,MJ McClenaghan,caught,15
2,1,481,SPD Smith,1,0,55,84,7,3,1,0,0,0,0,0,0,0,0,0,105
2,1,316,MS Dhoni,1,0,12,12,1,0,0,0,0,0,0,1,0,0,0,0,21
2,1,376,R Bhatia,0,1,0,0,0,0,0,0,18,14,2,1,0,0,0,0,62
2,1,19,A Zampa,0,1,0,0,0,0,0,0,19,27,1,0,0,0,0,0,25
2,1,189,Imran Tahir,0,1,0,0,0,0,0,0,24,28,3,0,0,0,0,0,75
2,1,78,BA Stokes,1,1,15,21,3,0,0,0,25,36,1,0,0,0,HH Pandya,caught,49
2,1,137,DL Chahar,0,1,0,0,0,0,0,0,12,21,0,0,0,0,0,0,-4
2,1,27,AB Dinda,0,1,0,0,0,0,0,0,27,58,0,0,0,0,0,0,-6
3,0,214,JJ Roy,1,0,13,14,3,0,0,0,0,0,0,0,0,0,PP Chawla,caught,17
3,0,80,BB McCullum,1,0,24,35,4,2,0,0,0,0,0,0,0,0,Kuldeep Yadav,lbw,43
3,0,466,SK Raina,1,0,52,68,7,0,1,0,0,0,0,0,0,0,0,0,83
3,0,41,AJ Finch,1,0,8,15,0,2,0,0,0,0,0,0,0,0,Kuldeep Yadav,caught,19
3,0,237,KD Karthik,1,0,25,47,6,2,0,0,0,0,0,0,0,0,TA Boult,caught,57
3,0,145,DR Smith,0,1,0,0,0,0,0,0,6,23,0,0,0,0,0,0,-6
3,0,456,SB Jakati,0,1,0,0,0,0,0,0,20,30,0,0,0,0,0,0,-2
3,0,433,S Kaushik,0,1,0,0,0,0,0,0,24,44,0,0,0,0,0,0,-6
3,0,317,MS Gony,0,1,0,0,0,0,0,0,15,32,0,0,0,0,0,0,-6
3,0,146,DS Kulkarni,0,1,0,0,0,0,0,0,19,42,0,0,0,0,0,0,-6
3,0,351,P Kumar,0,1,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0
3,1,158,G Gambhir,1,0,50,76,12,0,1,0,0,0,0,0,0,0,0,0,96
3,1,100,CA Lynn,1,0,46,93,6,8,1,0,0,0,0,0,0,0,0,0,123
3,1,557,YK Pathan,0,1,0,0,0,0,0,0,6,15,0,1,0,0,0,0,2
3,1,255,Kuldeep Yadav,0,1,0,0,0,0,0,0,24,25,2,2,0,0,0,0,66
3,1,113,CR Woakes,0,1,0,0,0,0,0,0,18,36,0,0,0,0,0,0,-6
3,1,480,SP Narine,0,1,0,0,0,0,0,0,24,33,0,0,0,0,0,0,0
3,1,367,PP Chawla,0,1,0,0,0,0,0,0,25,33,1,0,0,0,0,0,25
3,1,516,TA Boult,0,1,0,0,0,0,0,0,25,41,1,0,0,0,0,0,23
4,0,45,AM Rahane,1,0,15,19,1,1,0,0,0,0,0,0,0,0,T Natarajan,caught,22
4,0,289,MA Agarwal,1,0,4,0,0,0,0,0,0,0,0,0,0,0,Sandeep Sharma,bowled,-6
4,0,481,SPD Smith,1,0,28,26,3,0,0,0,0,0,0,0,0,0,MP Stoinis,caught,29
4,0,78,BA Stokes,1,1,34,50,2,3,1,0,25,32,0,1,0,0,AR Patel,caught and bowled,74
4,0,316,MS Dhoni,1,0,13,5,0,0,0,0,0,0,0,0,0,0,Swapnil Singh,caught and bowled,-1
4,0,307,MK Tiwary,1,0,23,40,3,2,0,0,0,0,0,1,0,0,0,0,55
4,0,148,DT Christian,1,1,8,17,2,1,0,0,14,24,0,0,0,0,Sandeep Sharma,caught,17
4,0,376,R Bhatia,0,1,0,0,0,0,0,0,13,20,0,0,0,0,0,0,-2
4,0,396,RD Chahar,0,1,0,0,0,0,0,0,28,33,1,0,0,0,0,0,25
4,0,189,Imran Tahir,0,1,0,0,0,0,0,0,24,29,2,0,0,0,0,0,50
4,0,27,AB Dinda,0,1,0,0,0,0,0,0,18,26,1,0,0,0,0,0,25
4,1,177,HM Amla,1,0,27,28,2,1,0,0,0,0,0,0,0,0,RD Chahar,caught,32
4,1,286,M Vohra,1,0,11,14,1,1,0,0,0,0,0,1,0,0,AB Dinda,caught,25
4,1,549,WP Saha,1,0,9,14,3,0,0,0,0,0,0,0,0,0,Imran Tahir,bowled,17
4,1,164,GJ Maxwell,1,0,23,44,3,4,0,0,0,0,0,1,0,0,0,0,63
4,1,122,DA Miller,1,0,27,30,1,2,0,0,0,0,0,0,0,0,0,0,35
4,1,507,Swapnil Singh,0,1,0,0,0,0,0,0,12,14,1,0,0,0,0,0,25
4,1,313,MP Stoinis,0,1,0,0,0,0,0,0,21,28,1,1,0,0,0,0,33
4,1,512,T Natarajan,0,1,0,0,0,0,0,0,18,26,1,0,0,0,0,0,25
4,1,53,AR Patel,1,1,25,24,1,1,0,0,26,28,1,0,0,0,Imran Tahir,caught and bowled,52
4,1,310,MM Sharma,0,1,0,0,0,0,0,0,24,34,0,0,0,0,0,0,0
4,1,497,Sandeep Sharma,0,1,0,0,0,0,0,0,24,33,2,0,0,0,0,0,50
5,0,102,CH Gayle,1,0,9,6,1,0,0,0,0,0,0,0,0,0,CH Morris,caught,5
5,0,483,SR Watson,1,1,25,24,4,0,0,0,24,21,1,0,0,0,S Nadeem,stumped,55
5,0,320,Mandeep Singh,1,0,10,12,3,0,0,0,0,0,0,0,0,0,PJ Cummins,bowled,15
5,0,245,KM Jadhav,1,0,38,69,5,5,1,0,0,0,0,0,0,0,Z Khan,caught,92
5,0,491,STR Binny,1,0,19,16,1,0,0,0,0,0,0,1,0,0,Z Khan,caught,25
5,0,545,Vishnu Vinod,1,0,5,9,0,1,0,0,0,0,0,0,0,0,0,run out,11
5,0,352,P Negi,1,1,8,10,0,1,0,0,6,3,2,0,0,0,CH Morris,bowled,68
5,0,190,Iqbal Abdulla,1,1,7,5,0,0,0,0,21,36,2,0,0,0,0,0,51
5,0,525,TS Mills,1,1,3,0,0,0,0,0,24,33,1,0,0,0,CH Morris,bowled,19
